ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value
INE144J01027,20 MICRONS,20MICRONS,2018-10-31,53,53.1,53.1
INE253B01015,21ST CEN.MGM,21STCENMGM,2018-10-31,40.6,40.2,40.6
INE748C01020,3I INFOTECH,3IINFOTECH,2018-10-31,6.48,6.5,6.5
INE470A01017,3M INDIA LTD,3MINDIA,2018-10-31,18859.15,18875,18875
INE618L01018,5PAISA,5PAISA,2018-10-31,301.65,305,305
INE111B01023,63MOONS,63MOONS,2018-10-31,111,109.5,111
INE413X01019,7NR,,2018-10-31,35.5,,35.5
INE650K01021,8KMILES,8KMILES,2018-10-31,751,753,753
INE701G01012,A.K.CAPITAL,,2018-10-31,525,,525
INE432A01017,A.SARABHAI,,2018-10-31,12.61,,12.61
INE619I01012,A2ZINFRA,A2ZINFRA,2018-10-31,38.65,38.65,38.65
INE864E01021,AAIL,,2018-10-31,68.8,,68.8
INE197R01010,AANANDALAK,,2018-10-31,4,,4
INE322R01014,AANCHALISP,,2018-10-31,18.4,,18.4
INE198H01019,AAREY DRUGS,,2018-10-31,58.1,,58.1
INE767A01016,AARTI DRUGS,AARTIDRUGS,2018-10-31,646.5,651.55,651.55
INE769A01020,AARTI INDUST,AARTIIND,2018-10-31,1079.95,1061.8,1079.95
INE273D01019,AARVEE DENIM,AARVEEDEN,2018-10-31,49.95,50,50
INE754X01016,,AARVI,2018-10-31,,95,95
INE430R01015,AAYUSH,,2018-10-31,75,,75
INE421A01028,ABAN OFFSHO,ABAN,2018-10-31,215.7,215.6,215.7
INE117A01022,ABB LTD.,ABB,2018-10-31,1670,1665,1670
INE358A01014,ABBOTT (I),ABBOTINDIA,2018-10-31,5666,5650,5666
INE125D01011,ABC INDIA,,2018-10-31,104.9,,104.9
INE674K01013,ABCAPITAL,ABCAPITAL,2018-10-31,172.8,172.8,172.8
INE647O01011,ABFRL,ABFRL,2018-10-31,163.7,164,164
INE067H01016,ABG SHIPYARD,ABGSHIP,2018-10-31,12.75,12.6,12.75
INE004I01017,ABHI CORP LT,,2018-10-31,4.3,,4.3
INE281P01016,ABHIINFRA,,2018-10-31,4.45,,4.45
INE516F01016,ABHINAV CAP,,2018-10-31,73,,73
INE195I01013,ABIRAMI FIN.,,2018-10-31,8.32,,8.32
INE850B01026,ABM KNOWLEDG,,2018-10-31,116,,116
INE251C01017,,ABMINTLTD,2018-10-31,,43.35,43.35
INE865C01022,ABML,BIRLAMONEY,2018-10-31,81.8,81,81.8
INE012A01025,ACC LTD,ACC,2018-10-31,1739.95,1737.9,1739.95
INE020G01017,ACCEL FRONTL,AFL,2018-10-31,60,59.7,60
INE258C01020,ACCEL TRANS,,2018-10-31,2.66,,2.66
INE793A01012,ACCELYA,ACCELYA,2018-10-31,1445,1497,1497
INE715F01014,ACE INDIA LT,,2018-10-31,2.3,,2.3
INE849B01010,ACE SOFTWARE,,2018-10-31,26,,26
INE543V01017,,ACEINTEG,2018-10-31,,44.5,44.5
INE860P01025,ACHAL,,2018-10-31,3.28,,3.28
INE167B01025,ACI INFOCOM,,2018-10-31,6.91,,6.91
INE326C01017,ACKNIT IND,,2018-10-31,123.95,,123.95
INE636B01011,ACME,,2018-10-31,24.95,,24.95
INE427V01013,ACML,,2018-10-31,189.75,,189.75
INE950D01012,ACROW INDIA,,2018-10-31,145.1,,145.1
INE482D01016,ACRYCIL LTD.,,2018-10-31,575.95,,575.95
INE731H01025,ACTION CONST,ACE,2018-10-31,174.8,175,175
INE357A01032,ACTION FIN.,,2018-10-31,8.99,,8.99
INE423A01024,ADANI ENTER,ADANIENT,2018-10-31,218.75,218.75,218.75
INE742F01042,ADANI PORTS,ADANIPORTS,2018-10-31,435,435.5,435.5
INE814H01011,ADANI POWER,ADANIPOWER,2018-10-31,38.25,38.25,38.25
INE931S01010,ADANITRANS,ADANITRANS,2018-10-31,214.85,215,215
INE627D01016,ADARSH PLANT,,2018-10-31,8.93,,8.93
INE833A01016,ADCINDIA,,2018-10-31,243,,243
INE757C01021,ADDI IND.,,2018-10-31,10,,10
INE982B01019,ADF FOODS LT,ADFFOODS,2018-10-31,273.95,275,275
INE207C01019,ADHINATH TEX,,2018-10-31,5.7,,5.7
INE400H01019,ADHUNIK MET,ADHUNIK,2018-10-31,5.69,5.75,5.75
INE452L01012,ADHUNIKIND,ADHUNIKIND,2018-10-31,89.3,88.8,89.3
INE398H01015,ADINATH EXIM,,2018-10-31,30.7,,30.7
INE570B01012,ADITYA ISPAT,,2018-10-31,7.52,,7.52
INE122D01026,ADITYA SPIN.,,2018-10-31,9.25,,9.25
INE172N01012,ADLABS,ADLABS,2018-10-31,62.5,62.4,62.5
INE556D01017,AD-MANUM FIN,,2018-10-31,37,,37
INE853A01022,ADOR FONTECH,,2018-10-31,123,,123
INE628D01014,ADOR MULTI.,,2018-10-31,19.6,,19.6
INE045A01017,ADORWELDING,ADORWELD,2018-10-31,521.15,524.9,524.9
INE009D01017,ADV POWER,,2018-10-31,2.31,,2.31
INE758A01056,ADVANCE TECH,,2018-10-31,1.23,,1.23
INE903C01013,ADVANCED MIC,,2018-10-31,5.68,,5.68
INE199C01026,ADVANI HOTEL,ADVANIHOTR,2018-10-31,75,76,76
INE101C01022,ADVENT COMP.,,2018-10-31,2.8,,2.8
INE837H01020,ADVENZYMES,ADVENZYMES,2018-10-31,269,269,269
INE537C01019,ADVIK LABORS,,2018-10-31,6.01,,6.01
INE178T01024,ADVIKCA,,2018-10-31,4.1,,4.1
INE208C01025,AEGIS LOGIS,AEGISCHEM,2018-10-31,250.1,250.75,250.75
INE829P01020,AEL,,2018-10-31,42.5,,42.5
INE663P01015,AFEL,,2018-10-31,4.23,,4.23
INE204E01012,AGAR IND COR,AGARIND,2018-10-31,560.1,570,570
INE676A01019,AGCNET,AGCNET,2018-10-31,122,122.4,122.4
INE976R01017,AGIIL,,2018-10-31,155.1,,155.1
INE112C01011,AGIO PAPER,,2018-10-31,4.86,,4.86
INE449G01018,AGRI TECH,AGRITECH,2018-10-31,110,110.8,110.8
INE209A01019,AGRO TECH FO,ATFL,2018-10-31,664,667.95,667.95
INE740V01019,,AGROPHOS,2018-10-31,,36.5,36.5
INE758C01029,AHLUWALIA CO,AHLUCONT,2018-10-31,358,357.9,358
INE868C01018,AHMED.STEEL,,2018-10-31,26.9,,26.9
INE768E01024,AI CHAMPDNY,AICHAMP,2018-10-31,38,37.45,38
INE212H01026,AIAENGINEER,AIAENG,2018-10-31,1559.95,1570,1570
INE428O01016,AIFL,AIFL,2018-10-31,461.25,463.8,463.8
INE206F01014,AIIL,,2018-10-31,69.8,,69.8
INE008B01013,AIMCO PESTI.,,2018-10-31,205,,205
INE123D01016,AIML,,2018-10-31,167.5,,167.5
INE534E01012,AINFRA,,2018-10-31,60.55,,60.55
INE645W01018,,AIRAN,2018-10-31,,242,242
INE966Q01010,AIRL,,2018-10-31,4.2,,4.2
INE801L01010,,AIROLAM,2018-10-31,,49,49
INE778I01024,AISHWARYA TE,,2018-10-31,9.15,,9.15
INE635Y01015,,AISL,2018-10-31,,141.3,141.3
INE031B01049,AJANTA PHARM,AJANTPHARM,2018-10-31,1460,1460.8,1460.8
INE601B01015,AJANTA SOYA,,2018-10-31,64.25,,64.25
INE759C01019,AJCON GLOBAL,,2018-10-31,39.3,,39.3
INE229B01015,AJEL,,2018-10-31,4.25,,4.25
INE022N01019,AJIL,,2018-10-31,77,,77
INE298G01027,AJMERA,AJMERA,2018-10-31,316.8,318,318
INE820Y01013,,AJOONI,2018-10-31,,46.3,46.3
INE863E01015,AJWA FUN WOR,,2018-10-31,20.65,,20.65
INE737W01013,,AKASH,2018-10-31,,82,82
INE523B01011,AKSH OPTIFIB,AKSHOPTFBR,2018-10-31,39.5,39.5,39.5
INE542B01011,AKSHARCHEM I,AKSHARCHEM,2018-10-31,742.15,743.95,743.95
INE671K01019,AKSPINTEX,,2018-10-31,44.55,,44.55
INE133A01011,AKZOINDIA,AKZOINDIA,2018-10-31,1860,1869,1869
INE273F01022,ALAN SCOTT,,2018-10-31,12.5,,12.5
INE914E01040,ALANKIT,ALANKIT,2018-10-31,64.65,64.75,64.75
INE155C01010,ALBERT DAVID,ALBERTDAVD,2018-10-31,389,390,390
INE057D01016,ALCH CORP,,2018-10-31,6.59,,6.59
INE964B01033,ALCHEMIST LT,ALCHEM,2018-10-31,13.34,13.35,13.35
INE901L01018,ALEM PHARMA,APLLTD,2018-10-31,575.9,576.9,576.9
INE426A01027,ALEMBIC LTD.,ALEMBICLTD,2018-10-31,66.2,66.3,66.3
INE191N01012,ALEXANDER,,2018-10-31,22,,22
INE042C01010,ALFA ICA (I),,2018-10-31,75.55,,75.55
INE209C01015,ALFA TRANSFO,,2018-10-31,30.85,,30.85
INE211D01027,ALFL,,2018-10-31,1.39,,1.39
INE782D01027,ALFRED HERB,,2018-10-31,1114,,1114
INE062D01024,ALICON,ALICON,2018-10-31,681.15,684.4,684.4
INE963D01015,ALKA DIAMOND,,2018-10-31,9.3,,9.3
INE061B01020,ALKA INDIA,,2018-10-31,0.28,,0.28
INE921C01031,ALKA SECUR.,,2018-10-31,0.4,,0.4
INE773I01017,ALKALI,ALKALI,2018-10-31,84.95,84,84.95
INE540L01014,ALKEM,ALKEM,2018-10-31,2231.2,2229.95,2231.2
INE150B01021,ALKYL AMINES,ALKYLAMINE,2018-10-31,740.75,746.65,746.65
INE428A01015,ALLAHABAD BK,ALBK,2018-10-31,68.5,68.4,68.5
INE418H01029,ALLCARGO,ALLCARGO,2018-10-31,196,195,196
INE102I01027,ALLIED DIGIT,ADSL,2018-10-31,23.25,23.2,23.25
INE835G01018,ALLSEC TECH,ALLSEC,2018-10-31,419.95,418.35,419.95
INE326B01027,ALMONDZ GLO,ALMONDZ,2018-10-31,27,27.4,27.4
INE270A01011,ALOK INDS.,ALOKTEXT,2018-10-31,3.7,3.65,3.7
INE527R01018,ALORA,,2018-10-31,4.75,,4.75
INE385I01010,ALPA LAB,ALPA,2018-10-31,41,41,41
INE137C01018,ALPHAGEO (I),ALPHAGEO,2018-10-31,917.95,918,918
INE840D01015,ALPINE HSG.,,2018-10-31,34.9,,34.9
INE093B01015,ALPS INDS.,ALPSINDUS,2018-10-31,5.38,5.35,5.38
INE729P01022,ALPS MOTOR,,2018-10-31,22.2,,22.2
INE030P01017,ALSL,,2018-10-31,9.85,,9.85
INE058F01019,ALU FLUORIDE,,2018-10-31,122.8,,122.8
INE841D01013,AMAL PRODUCT,,2018-10-31,180.9,,180.9
INE885A01032,AMAR RAJA BA,AMARAJABAT,2018-10-31,820.5,820,820.5
INE484D01012,AMARJOTHI SP,,2018-10-31,188,,188
INE745P01010,AMARSEC,,2018-10-31,42.1,,42.1
INE371P01015,AMBER,AMBER,2018-10-31,1298.3,1299,1299
INE540G01014,AMBIKA COTTO,AMBIKCO,2018-10-31,1400,1416.9,1416.9
INE563S01011,AMBITION,,2018-10-31,42.7,,42.7
INE079A01024,AMBUJA CEME,AMBUJACEM,2018-10-31,262.4,263.3,263.3
INE924B01011,AMCO INDIA L,,2018-10-31,48.9,,48.9
INE005I01014,AMD INDUS,AMDIND,2018-10-31,43.8,44,44
INE319X01018,AMFL,,2018-10-31,21.7,,21.7
INE991A01020,AMFORGE IND.,,2018-10-31,3.02,,3.02
INE275D01022,AMINES&PLAST,,2018-10-31,81.95,,81.95
INE053D01015,AMIT INTNL.,,2018-10-31,3.3,,3.3
INE606A01024,AMJLAND,AMJLAND,2018-10-31,25.5,25.8,25.8
INE344X01016,AMML,,2018-10-31,9.99,,9.99
INE990S01016,AMRAFIN,,2018-10-31,39,,39
INE218P01018,AMRAPALI CAP,,2018-10-31,40.9,,40.9
INE762C01021,AMRAPALI IND,,2018-10-31,6.05,,6.05
INE866E01026,AMRIT CORP,,2018-10-31,1302,,1302
INE098F01023,AMRUTANJAN,AMRUTANJAN,2018-10-31,604,605,605
INE812P01018,AMSONS,,2018-10-31,4.59,,4.59
INE130C01021,AMTEK AUTO,AMTEKAUTO,2018-10-31,26.2,26.15,26.2
INE436N01029,AMTL,,2018-10-31,30,,30
INE242C01024,ANANTRAJ,ANANTRAJ,2018-10-31,68.15,68.15,68.15
INE148B01025,ANARINDUS,,2018-10-31,19,,19
INE434A01013,ANDHRA BANK,ANDHRABANK,2018-10-31,53.7,53.6,53.7
INE666E01012,ANDHRA CEMEN,ANDHRACEMT,2018-10-31,13.08,13.2,13.2
INE714B01016,ANDHRA PETRO,,2018-10-31,71.8,,71.8
INE715B01013,ANDHRA SUGAR,ANDHRSUGAR,2018-10-31,660.5,664.75,664.75
INE449C01025,ANDREW YULE,,2018-10-31,34,,34
INE720D01019,ANERI,,2018-10-31,5.03,,5.03
INE236W01016,ANG,,2018-10-31,76.15,,76.15
INE017D01010,ANGIND,ANGIND,2018-10-31,6.11,6,6.11
INE087B01017,ANIK INDS,ANIKINDS,2018-10-31,42.7,42.8,42.8
INE125E01019,ANILLTD,,2018-10-31,31.95,,31.95
INE084Q01012,ANISHA IMPEX,,2018-10-31,19.5,,19.5
INE283D01018,ANJANI FINL,,2018-10-31,4.29,,4.29
INE071F01012,ANJANI PORTL,APCL,2018-10-31,235,234.75,235
INE364D01032,ANJANI SYNT.,,2018-10-31,38.5,,38.5
INE784D01015,ANKUSH FINST,,2018-10-31,6.7,,6.7
INE234J01018,ANS LTD,,2018-10-31,23.6,,23.6
INE030C01015,ANSAL BUILD.,,2018-10-31,85.95,,85.95
INE880B01015,ANSAL HOUS.,ANSALHSG,2018-10-31,28.8,28.75,28.8
INE436A01026,ANSAL INFRAS,ANSALAPI,2018-10-31,27.45,27.5,27.5
INE636N01016,ANSHUS CLOTH,,2018-10-31,1.38,,1.38
INE414B01021,,ANTGRAPHIC,2018-10-31,,1.05,1.05
INE779A01011,ANTIF BEARNG,,2018-10-31,524.95,,524.95
INE489G01022,ANUH PHARMA,,2018-10-31,173,,173
INE372A01015,APAR INDUS.,APARINDS,2018-10-31,764.95,768.65,768.65
INE116A01024,APCOTEX IND,APCOTEXIND,2018-10-31,481.7,484,484
INE346W01013,APEX,APEX,2018-10-31,656,657,657
INE316O01021,APIL,,2018-10-31,26.85,,26.85
INE702C01019,APL APOLLO,APLAPOLLO,2018-10-31,2226,2240,2240
INE273A01015,APLAB LTD.,,2018-10-31,23.5,,23.5
INE099M01027,APLAYA,,2018-10-31,4.78,,4.78
INE170D01025,APM INDUS.,,2018-10-31,64,,64
INE713T01010,APOLLO,APOLLO,2018-10-31,366.8,360.85,366.8
INE412D01013,APOLLO FIN I,,2018-10-31,32.1,,32.1
INE437A01024,APOLLO HOSP.,APOLLOHOSP,2018-10-31,1173,1173.85,1173.85
INE438A01022,APOLLO TYRES,APOLLOTYRE,2018-10-31,264.5,263.75,264.5
INE126J01016,APOLLOPIPES,,2018-10-31,658.8,,658.8
INE451F01016,,APOLSINHOT,2018-10-31,,1420,1420
INE096A01010,APPLE FINANC,,2018-10-31,3.67,,3.67
INE266F01018,APTECH LTD,APTECHT,2018-10-31,321.65,321.4,321.65
INE421N01021,APTL,,2018-10-31,5.1,,5.1
INE005E01013,AQUAPIV,,2018-10-31,27.25,,27.25
INE800S01017,ARAMBHAN,,2018-10-31,54.5,,54.5
INE068C01015,ARAVALI SEC.,,2018-10-31,2.69,,2.69
INE276D01012,ARCEE INDUST,,2018-10-31,1.7,,1.7
INE202R01018,ARCFIN,,2018-10-31,5.38,,5.38
INE149B01015,ARCHANA SOFT,,2018-10-31,2.22,,2.22
INE877I01016,ARCHIDPLY IN,ARCHIDPLY,2018-10-31,106,106.35,106.35
INE731A01020,ARCHIES LTD,ARCHIES,2018-10-31,44.9,44.5,44.9
INE078I01011,ARCHITORG,,2018-10-31,53.85,,53.85
INE574I01035,ARCOTECH LTD,ARCOTECH,2018-10-31,48.9,48.85,48.9
INE674C01010,ARCUTTI.TEA,,2018-10-31,2.1,,2.1
INE646D01024,AREALTY,,2018-10-31,3.26,,3.26
INE480H01011,AREX IND.,,2018-10-31,94,,94
INE784R01015,ARFIN,,2018-10-31,530,,530
INE298I01015,ARIES AGRO,ARIES,2018-10-31,230,232.05,232.05
INE643K01018,ARIH SUPER,ARIHANTSUP,2018-10-31,158.85,159.45,159.45
INE420B01028,ARIHANT CAP.,,2018-10-31,168.8,,168.8
INE413D01011,ARIHANT FOUN,ARIHANT,2018-10-31,54.85,53.9,54.85
INE109C01017,ARMAN FIN,ARMANFIN,2018-10-31,271,271,271
INE971A01014,ARMS PAPER,,2018-10-31,1.22,,1.22
INE647D01014,ARNAVCORP,,2018-10-31,0.28,,0.28
INE185K01028,ARNOLD HOLD,,2018-10-31,7.04,,7.04
INE210C01013,ARO GRANITE,AROGRANITE,2018-10-31,68.5,69.4,69.4
INE933J01015,ARROW TEX,ARROWTEX,2018-10-31,45.5,45.55,45.55
INE570D01018,ARROWGREEN,ARROWGREEN,2018-10-31,478.4,480,480
INE968D01022,ARSHIYA,ARSHIYA,2018-10-31,99.1,99.15,99.15
INE267I01010,ARSS INFRA,ARSSINFRA,2018-10-31,51.3,51.7,51.7
INE885B01014,ARTEFACT PR,,2018-10-31,50,,50
INE517U01013,ARTEMIS,AGLSL,2018-10-31,120.15,120.75,120.75
INE738V01013,,ARTNIRMAN,2018-10-31,,29,29
INE133D01023,ARTSON ENG,,2018-10-31,98.9,,98.9
INE034A01011,ARVIND Ltd,ARVIND,2018-10-31,430,429.85,430
INE034S01021,ARVSMART,ARVSMART,2018-10-31,202.85,202.3,202.85
INE229R01011,ARYACAPM,,2018-10-31,27.15,,27.15
INE032E01017,ARYAMAN FIN.,,2018-10-31,48,,48
INE439A01020,ASAHI IN.GLA,ASAHIINDIA,2018-10-31,350,347.9,350
INE228I01012,ASAHI SONG,ASAHISONG,2018-10-31,365.05,368,368
INE348A01023,ASHAPURA LTD,ASHAPURMIN,2018-10-31,89.5,90,90
INE361S01010,ASHARI,,2018-10-31,47.75,,47.75
INE526R01010,ASHFL,,2018-10-31,119,,119
INE365D01021,ASHIANA HOU,ASHIANA,2018-10-31,204,202.8,204
INE587D01012,ASHIANA ISP.,,2018-10-31,29.2,,29.2
INE440A01010,ASHIMA LTD.,ASHIMASYN,2018-10-31,31.9,30.9,31.9
INE894A01026,ASHIRWAD CAP,,2018-10-31,3.09,,3.09
INE338C01012,ASHIRWAD STL,,2018-10-31,17.9,,17.9
INE831C01016,ASHISH POLY.,,2018-10-31,12.83,,12.83
INE372I01018,ASHNOOR TEX.,,2018-10-31,24.3,,24.3
INE208A01029,ASHOK LEYL.,ASHOKLEY,2018-10-31,126.3,126.55,126.55
INE442H01029,ASHOKA,ASHOKA,2018-10-31,232,229.95,232
INE994D01010,ASHOK-ALCO,,2018-10-31,123.9,,123.9
INE723K01018,ASHUTOSH PAP,,2018-10-31,2.95,,2.95
INE784M01016,ASIA PACK,,2018-10-31,23.2,,23.2
INE022I01019,ASIAN GRANIT,ASIANTILES,2018-10-31,562.3,562.5,562.5
INE926K01017,ASIAN HTL E,AHLEAST,2018-10-31,389.4,392.5,392.5
INE915K01010,ASIAN HTL W,AHLWEST,2018-10-31,284.6,289.9,289.9
INE276G01015,ASIAN OILFIE,,2018-10-31,260,,260
INE021A01026,ASIAN PAINTS,ASIANPAINT,2018-10-31,1139.7,1139.8,1139.8
INE194D01017,ASIAN STAR,,2018-10-31,1449.85,,1449.85
INE822B01017,ASIAN TEA,,2018-10-31,17,,17
INE363A01022,ASIANHOTNR,ASIANHOTNR,2018-10-31,275.8,274.95,275.8
INE041B01014,ASIT C FIN,,2018-10-31,66.2,,66.2
INE617I01024,,ASLIND,2018-10-31,,33,33
INE867C01010,ASM TECHNOLO,,2018-10-31,171.8,,171.8
INE991I01015,,ASPINWALL,2018-10-31,,504,504
INE442A01024,ASSAMCO,ASSAMCO,2018-10-31,5.1,5.1,5.1
INE073G01016,ASSO.ALCOHOL,,2018-10-31,267.95,,267.95
INE443A01030,ASSOC.STONE,,2018-10-31,39.8,,39.8
INE563J01010,ASTEC LIFE,ASTEC,2018-10-31,603,602.2,603
INE386C01029,ASTRA MICRO,ASTRAMICRO,2018-10-31,115.4,115,115.4
INE006I01046,ASTRAL POLY,ASTRAL,2018-10-31,813.95,814,814
INE203A01020,ASTRAZEN.PH.,ASTRAZEN,2018-10-31,1141,1149.9,1149.9
INE646X01014,ASTRON,ASTRON,2018-10-31,141.65,141.5,141.65
INE520G01016,ASYAINFO,,2018-10-31,43,,43
INE184U01012,ASYL,,2018-10-31,20.95,,20.95
INE291R01011,ATHCON,,2018-10-31,68.8,,68.8
INE576B01019,ATHENAGLO,,2018-10-31,17,,17
INE011R01013,ATISHAY,,2018-10-31,116,,116
INE285H01022,ATLANTA,ATLANTA,2018-10-31,110.8,110.9,110.9
INE590F01029,ATLANTADEV,,2018-10-31,0.9,,0.9
INE446A01025,ATLAS CYCLES,ATLASCYCLE,2018-10-31,202.95,199.75,202.95
INE951D01028,ATUL AUTO,ATULAUTO,2018-10-31,425,424.85,425
INE100A01010,ATUL LTD.,ATUL,2018-10-31,2820,2822.45,2822.45
INE447A01015,ATV PROJECTS,,2018-10-31,11.86,,11.86
INE949L01017,AUBANK,AUBANK,2018-10-31,676,676,676
INE207D01017,AUNDE IND,,2018-10-31,66.6,,66.6
INE448V01019,,AURDIS,2018-10-31,,34,34
INE132H01018,AURIONPRO SO,AURIONPRO,2018-10-31,219.65,219.5,219.65
INE292C01011,AURO LAB.,,2018-10-31,94.9,,94.9
INE406A01037,AUROB.PHARMA,AUROPHARMA,2018-10-31,635.4,635.5,635.5
INE662I01012,AUROMA COKE,,2018-10-31,7.5,,7.5
INE600D01021,AURUM SOFT,,2018-10-31,2.78,,2.78
INE218C01016,AUSOM ENT,AUSOMENT,2018-10-31,83,83.75,83.75
INE759F01012,AUSTIN ENGG.,,2018-10-31,124.5,,124.5
INE449A01011,AUTO AXLES,AUTOAXLES,2018-10-31,1686.95,1694.65,1694.65
INE451C01013,AUTO COR.GOA,,2018-10-31,1387.9,,1387.9
INE718H01014,AUTOIND,AUTOIND,2018-10-31,91.95,91.1,91.95
INE448A01013,AUTOLITE(I),AUTOLITIND,2018-10-31,67.4,67.5,67.5
INE900C01027,AUTOMOTIVE S,ASAL,2018-10-31,93.4,93.95,93.95
INE349W01017,AVADHSUGAR,AVADHSUGAR,2018-10-31,699,697.95,699
INE325G01010,AVAILABLE FI,,2018-10-31,9.65,,9.65
INE005B01019,AVANTEL LTD,,2018-10-31,566.15,,566.15
INE871C01020,AVANTI FEEDS,AVANTIFEED,2018-10-31,2270,2274.7,2274.7
INE679V01019,AVL,,2018-10-31,129.15,,129.15
INE881A01015,AVONLIFE,,2018-10-31,16.3,,16.3
INE323B01016,AVONMORE,,2018-10-31,38.5,,38.5
INE522V01011,,AVSL,2018-10-31,,28,28
INE488D01021,AVT NATURAL,AVTNPL,2018-10-31,46.95,46.35,46.95
INE197C01012,AXEL POLYMER,,2018-10-31,27,,27
INE238A01034,AXIS BANK,AXISBANK,2018-10-31,595.75,596,596
INF846K01ZK2,AXISAEGPG,,2018-10-31,9.77,,9.77
INE555B01013,AXISCADES,AXISCADES,2018-10-31,188,187.85,188
INF846K01347,AXISGOLD,AXISGOLD,2018-10-31,2684.99,2639.95,2684.99
INF846K01ZL0,,AXISNIFTY,2018-10-31,,1103.9,1103.9
INE663D01011,AXONVL,,2018-10-31,1.57,,1.57
INE767C01012,AXTEL INDUS.,,2018-10-31,126.15,,126.15
INE193B01039,AYMSYNTEX,AYMSYNTEX,2018-10-31,65,65.35,65.35
INE735G01010,B NANJI ENT.,,2018-10-31,10.45,,10.45
INE710D01010,B.N.RATHI SE,,2018-10-31,43.25,,43.25
INE151B01011,B2B SOFT.,,2018-10-31,14,,14
INE893A01036,BABA ARTS,,2018-10-31,2.94,,2.94
INE711D01018,BACIL PHARMA,,2018-10-31,4.21,,4.21
INE878I01014,BAFNA PHARMA,BAFNAPHARM,2018-10-31,24.5,24.75,24.75
INE116D01028,BAG FIL MED,BAGFILMS,2018-10-31,5.9,6,6
INE365H01014,BAGADIA COLO,,2018-10-31,9.92,,9.92
INE020D01014,BAID LEASING,,2018-10-31,193.9,,193.9
INE118A01012,BAJ HOLD INV,BAJAJHLDNG,2018-10-31,2851,2815,2851
INE917I01010,BAJAJ AUTO,BAJAJ-AUTO,2018-10-31,3379.15,3385.8,3385.8
INE933K01021,BAJAJ CORP,BAJAJCORP,2018-10-31,507,505.05,507
INE193E01025,BAJAJ ELECT.,BAJAJELEC,2018-10-31,511.3,512,512
INE918I01018,BAJAJ FINSE,BAJAJFINSV,2018-10-31,4870,4863.45,4870
INE704G01016,BAJAJ STEEL,,2018-10-31,205,,205
INE411U01019,BAJAJHCARE,,2018-10-31,380,,380
INE306A01021,BAJAJHIND,BAJAJHIND,2018-10-31,14.55,14.5,14.55
INE296A01024,BAJFINANCE,BAJFINANCE,2018-10-31,1688.5,1690,1690
INE083D01012,BAL PHARMA,BALPHARMA,2018-10-31,105.4,106,106
INE050E01027,BALAJI AMINE,BALAMINES,2018-10-31,685,684.45,685
INE794B01026,BALAJI TELE.,BALAJITELE,2018-10-31,154.95,154.4,154.95
INE294A01037,BALARPUR IND,BALLARPUR,2018-10-31,16.3,16.3,16.3
INE135A01024,BALASORE,,2018-10-31,82.5,,82.5
INE787D01026,BALKRISH IND,BALKRISIND,2018-10-31,1184,1184.5,1184.5
INE875R01011,BALKRISHNA,BALKRISHNA,2018-10-31,83.6,85.75,85.75
INE525F01017,BALMER LA.IN,,2018-10-31,468.95,,468.95
INE164A01016,BALMER LAWRI,BALMLAWRIE,2018-10-31,246,247.8,247.8
INE119A01028,BALRAM.CHINI,BALRAMCHIN,2018-10-31,125.25,125.2,125.25
INE654B01014,BALURGHAT TE,,2018-10-31,5.88,,5.88
INE921D01013,BAMBINO AGRO,,2018-10-31,290,,290
INE802A01037,BAMPSL SECUR,,2018-10-31,2.59,,2.59
INE655B01011,BANARAS BEAD,BANARBEADS,2018-10-31,68.95,71.35,71.35
INE521L01030,BANAS FIN.,,2018-10-31,4.86,,4.86
INE213C01025,BANCO PROD.,BANCOINDIA,2018-10-31,242.45,242.6,242.6
INE863I01016,BANG,BANG,2018-10-31,35.15,36.5,36.5
INF732E01078,BANK BEES,BANKBEES,2018-10-31,2774.5,2781.5,2781.5
INE457A01014,BANK MAHA,MAHABANK,2018-10-31,20,19.9,20
INE028A01039,BANKBARODA,BANKBARODA,2018-10-31,161.75,161.8,161.8
INE459A01010,BANNARI AMAN,BANARISUG,2018-10-31,1897.9,1918.95,1918.95
INE186H01014,BANNARI AMMA,BASML,2018-10-31,318,318.25,318.25
INE668X01018,,BANSAL,2018-10-31,,113.4,113.4
INE319Q01012,BANSAL ROOF,,2018-10-31,62,,62
INE629D01012,BANSW.SYNTEX,BANSWRAS,2018-10-31,128.25,129.8,129.8
INE139I01011,BARAK VALL,BVCL,2018-10-31,,31.35,31.35
INE228B01017,BARON INFO.,,2018-10-31,0.33,,0.33
INE855F01034,BARTRONICSIN,BARTRONICS,2018-10-31,14.39,14.2,14.39
INE473E01021,BASANT AGRO,,2018-10-31,8.22,,8.22
INE373A01013,BASF INDIA,BASF,2018-10-31,2159.7,2155.95,2159.7
INE176A01028,BATA INDIA,BATAINDIA,2018-10-31,716.8,717.2,717.2
INE177C01022,BATLIBOI LTD,,2018-10-31,37.85,,37.85
INE462A01022,BAYER CROP,BAYERCROP,2018-10-31,4581.45,4599.95,4599.95
INE314E01019,BB REALTY,,2018-10-31,4.45,,4.45
INE788D01016,BCC FUBA,,2018-10-31,20.1,,20.1
INE412G01016,BCL,,2018-10-31,159.7,,159.7
INE368E01015,BCLENTERPR,,2018-10-31,9.06,,9.06
