ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value
INE313D01013,MOHOTAIND,MOHOTAIND,2018-10-31,402.95,404.7,404.7
INE490G01020,MOIL LTD,MOIL,2018-10-31,245.95,246.05,246.05
INE514Y01012,,MOKSH,2018-10-31,,44.25,44.25
INE835B01035,MOLD-TEK TEC,MOLDTECH,2018-10-31,70.25,72.4,72.4
INE893J01029,MOLDTKPACK,MOLDTKPAC,2018-10-31,353.6,359.75,359.75
INE903D01011,MONARCH,,2018-10-31,85,,85
INE407E01029,MONNET IND.,,2018-10-31,9.35,,9.35
INE743C01013,MONNETISPA,MONNETISPA,2018-10-31,29.85,29.85,29.85
INE493H01014,MONNETPRO,,2018-10-31,15.5,,15.5
INE811D01024,MONOTYPE IND,,2018-10-31,3.85,,3.85
INE274B01011,MONSANTO (I),MONSANTO,2018-10-31,2592.25,2594.35,2594.35
INE950M01013,MONTECARLO,MONTECARLO,2018-10-31,610,607.9,610
INE153K01018,MOONGIPA CAP,,2018-10-31,10,,10
INE161G01027,MORARJETEX,MORARJEE,2018-10-31,56.5,55.5,56.5
INE367A01015,MORARKA FIN.,,2018-10-31,35.1,,35.1
INE083A01026,MOREPEN LAB.,MOREPENLAB,2018-10-31,36.2,36.2,36.2
INE599F01012,MORGAN CRU,,2018-10-31,1010,,1010
INE935B01025,MOSCHIP SEMI,,2018-10-31,38.5,,38.5
INE739A01015,MOSER BEAR,MOSERBAER,2018-10-31,5.05,5,5.05
INE775A01035,MOTHERSON SS,MOTHERSUMI,2018-10-31,367.45,367.55,367.55
INE338I01027,MOTILALOFS,MOTILALOFS,2018-10-31,1295,1293,1295
INE861B01015,MOTOR&GEN.FI,MOTOGENFIN,2018-10-31,38.8,39.35,39.35
INE356A01018,MPHASIS LTD,MPHASIS,2018-10-31,910.95,912,912
INE844C01027,MPIL CORP L,,2018-10-31,212.65,,212.65
INE343A01016,MPL,,2018-10-31,20.8,,20.8
INE943D01017,MPS LTD,MPSLTD,2018-10-31,591.55,593.8,593.8
INE105Y01019,,MPTODAY,2018-10-31,,145,145
INE333Y01017,MRCEXIM,,2018-10-31,7.3,,7.3
INE883A01011,MRF LTD.,MRF,2018-10-31,70610.8,68798.75,70610.8
INE398B01018,MRO-TEK,MRO-TEK,2018-10-31,29.15,30,30
INE103A01014,MRPL,MRPL,2018-10-31,130,130,130
INE196R01012,MRSS,,2018-10-31,300,,300
INE829S01016,MSL,,2018-10-31,120,,120
