ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE613A01020,RALLIS INDIA,RALLIS,10/31/2018,251.35,252.6,252.6,Stock
INE207E01023,RAM RAT.WIRE,,10/31/2018,215,,215,Stock
INE425E01013,RAMA PAPER,,10/31/2018,9.65,,9.65,Stock
INE783A01013,RAMA PETRO,,10/31/2018,3.86,,3.86,Stock
INE809A01024,RAMA PHOSPH,,10/31/2018,115.4,,115.4,Stock
INE777A01015,RAMA PULP,,10/31/2018,55.9,,55.9,Stock
INE763B01013,RAMA VISION,,10/31/2018,18.88,,18.88,Stock
INE278B01020,RAMANEWS,RAMANEWS,10/31/2018,29.2,29.35,29.35,Stock
INE650D01018,RAMASIGNS,,10/31/2018,18.15,,18.15,Stock
INE230R01027,RAMASTEEL,RAMASTEEL,10/31/2018,277,274.75,277,Stock
INE246B01019,RAMCO SYSTM,RAMCOSYS,10/31/2018,510.4,509.5,510.4,Stock
INE614A01028,RAMCO INDS.,RAMCOIND,10/31/2018,296.7,297,297,Stock
INE331A01037,RAMCOCEM,RAMCOCEM,10/31/2018,773.75,773.3,773.75,Stock
INE410D01017,RAMGOPAL POL,RAMGOPOLY,10/31/2018,6.68,4.85,6.68,Stock
INE357B01022,RAMINFO,,10/31/2018,35.55,,35.55,Stock
INE874I01013,RAMKY INFRA,RAMKY,10/31/2018,223,223.9,223.9,Stock
INE005D01015,RAMSARUP IND,RAMSARUP,10/31/2018,2.24,2.15,2.24,Stock
INE625B01014,RANA SUGARS,RANASUG,10/31/2018,7.1,7.1,7.1,Stock
INE244J01017,RANE BRAKE,RBL,10/31/2018,1149.95,1152.95,1152.95,Stock
INE222J01013,RANE ENGVL,RANEENGINE,10/31/2018,598,593.95,598,Stock
INE384A01010,RANE HOLDIN,RANEHOLDIN,10/31/2018,2549.25,2564.8,2564.8,Stock
INE050H01012,RANE MADRAS,RML,10/31/2018,894,895.9,895.9,Stock
INE483D01014,RAP MEDIA,,10/31/2018,9.87,,9.87,Stock
INE350D01015,RAPICUT CARB,,10/31/2018,76.95,,76.95,Stock
INE682D01011,RASANDIK ENG,,10/31/2018,214.7,,214.7,Stock
