ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE144J01027,20 MICRONS,20MICRONS,10/31/2018,53,53.1,53.1,Stock
INE253B01015,21ST CEN.MGM,21STCENMGM,10/31/2018,40.6,40.2,40.6,Stock
INE748C01020,3I INFOTECH,3IINFOTECH,10/31/2018,6.48,6.5,6.5,Stock
INE470A01017,3M INDIA LTD,3MINDIA,10/31/2018,18859.15,18875,18875,Stock
INE618L01018,5PAISA,5PAISA,10/31/2018,301.65,305,305,Stock
INE111B01023,63MOONS,63MOONS,10/31/2018,111,109.5,111,Stock
INE413X01019,7NR,,10/31/2018,35.5,,35.5,Stock
INE650K01021,8KMILES,8KMILES,10/31/2018,751,753,753,Stock
INE701G01012,A.K.CAPITAL,,10/31/2018,525,,525,Stock
INE432A01017,A.SARABHAI,,10/31/2018,12.61,,12.61,Stock
INE619I01012,A2ZINFRA,A2ZINFRA,10/31/2018,38.65,38.65,38.65,Stock
INE864E01021,AAIL,,10/31/2018,68.8,,68.8,Stock
INE197R01010,AANANDALAK,,10/31/2018,4,,4,Stock
INE322R01014,AANCHALISP,,10/31/2018,18.4,,18.4,Stock
INE198H01019,AAREY DRUGS,,10/31/2018,58.1,,58.1,Stock
INE767A01016,AARTI DRUGS,AARTIDRUGS,10/31/2018,646.5,651.55,651.55,Stock
INE769A01020,AARTI INDUST,AARTIIND,10/31/2018,1079.95,1061.8,1079.95,Stock
INE273D01019,AARVEE DENIM,AARVEEDEN,10/31/2018,49.95,50,50,Stock
INE754X01016,,AARVI,10/31/2018,,95,95,Stock
INE430R01015,AAYUSH,,10/31/2018,75,,75,Stock
INE421A01028,ABAN OFFSHO,ABAN,10/31/2018,215.7,215.6,215.7,Stock
INE117A01022,ABB LTD.,ABB,10/31/2018,1670,1665,1670,Stock
INE358A01014,ABBOTT (I),ABBOTINDIA,10/31/2018,5666,5650,5666,Stock
INE125D01011,ABC INDIA,,10/31/2018,104.9,,104.9,Stock
INE674K01013,ABCAPITAL,ABCAPITAL,10/31/2018,172.8,172.8,172.8,Stock
INE647O01011,ABFRL,ABFRL,10/31/2018,163.7,164,164,Stock
INE067H01016,ABG SHIPYARD,ABGSHIP,10/31/2018,12.75,12.6,12.75,Stock
INE004I01017,ABHI CORP LT,,10/31/2018,4.3,,4.3,Stock
INE281P01016,ABHIINFRA,,10/31/2018,4.45,,4.45,Stock
INE516F01016,ABHINAV CAP,,10/31/2018,73,,73,Stock
INE195I01013,ABIRAMI FIN.,,10/31/2018,8.32,,8.32,Stock
INE850B01026,ABM KNOWLEDG,,10/31/2018,116,,116,Stock
INE251C01017,,ABMINTLTD,10/31/2018,,43.35,43.35,Stock
INE865C01022,ABML,BIRLAMONEY,10/31/2018,81.8,81,81.8,Stock
INE012A01025,ACC LTD,ACC,10/31/2018,1739.95,1737.9,1739.95,Stock
INE020G01017,ACCEL FRONTL,AFL,10/31/2018,60,59.7,60,Stock
INE258C01020,ACCEL TRANS,,10/31/2018,2.66,,2.66,Stock
INE793A01012,ACCELYA,ACCELYA,10/31/2018,1445,1497,1497,Stock
INE715F01014,ACE INDIA LT,,10/31/2018,2.3,,2.3,Stock
INE849B01010,ACE SOFTWARE,,10/31/2018,26,,26,Stock
INE543V01017,,ACEINTEG,10/31/2018,,44.5,44.5,Stock
INE860P01025,ACHAL,,10/31/2018,3.28,,3.28,Stock
INE167B01025,ACI INFOCOM,,10/31/2018,6.91,,6.91,Stock
INE326C01017,ACKNIT IND,,10/31/2018,123.95,,123.95,Stock
INE636B01011,ACME,,10/31/2018,24.95,,24.95,Stock
INE427V01013,ACML,,10/31/2018,189.75,,189.75,Stock
INE950D01012,ACROW INDIA,,10/31/2018,145.1,,145.1,Stock
INE482D01016,ACRYCIL LTD.,,10/31/2018,575.95,,575.95,Stock
INE731H01025,ACTION CONST,ACE,10/31/2018,174.8,175,175,Stock
INE357A01032,ACTION FIN.,,10/31/2018,8.99,,8.99,Stock
INE423A01024,ADANI ENTER,ADANIENT,10/31/2018,218.75,218.75,218.75,Stock
INE742F01042,ADANI PORTS,ADANIPORTS,10/31/2018,435,435.5,435.5,Stock
INE814H01011,ADANI POWER,ADANIPOWER,10/31/2018,38.25,38.25,38.25,Stock
INE931S01010,ADANITRANS,ADANITRANS,10/31/2018,214.85,215,215,Stock
INE627D01016,ADARSH PLANT,,10/31/2018,8.93,,8.93,Stock
INE833A01016,ADCINDIA,,10/31/2018,243,,243,Stock
INE757C01021,ADDI IND.,,10/31/2018,10,,10,Stock
INE982B01019,ADF FOODS LT,ADFFOODS,10/31/2018,273.95,275,275,Stock
INE207C01019,ADHINATH TEX,,10/31/2018,5.7,,5.7,Stock
INE400H01019,ADHUNIK MET,ADHUNIK,10/31/2018,5.69,5.75,5.75,Stock
INE452L01012,ADHUNIKIND,ADHUNIKIND,10/31/2018,89.3,88.8,89.3,Stock
INE398H01015,ADINATH EXIM,,10/31/2018,30.7,,30.7,Stock
INE570B01012,ADITYA ISPAT,,10/31/2018,7.52,,7.52,Stock
INE122D01026,ADITYA SPIN.,,10/31/2018,9.25,,9.25,Stock
INE172N01012,ADLABS,ADLABS,10/31/2018,62.5,62.4,62.5,Stock
INE556D01017,AD-MANUM FIN,,10/31/2018,37,,37,Stock
INE853A01022,ADOR FONTECH,,10/31/2018,123,,123,Stock
INE628D01014,ADOR MULTI.,,10/31/2018,19.6,,19.6,Stock
INE045A01017,ADORWELDING,ADORWELD,10/31/2018,521.15,524.9,524.9,Stock
INE009D01017,ADV POWER,,10/31/2018,2.31,,2.31,Stock
INE758A01056,ADVANCE TECH,,10/31/2018,1.23,,1.23,Stock
INE903C01013,ADVANCED MIC,,10/31/2018,5.68,,5.68,Stock
INE199C01026,ADVANI HOTEL,ADVANIHOTR,10/31/2018,75,76,76,Stock
INE101C01022,ADVENT COMP.,,10/31/2018,2.8,,2.8,Stock
INE837H01020,ADVENZYMES,ADVENZYMES,10/31/2018,269,269,269,Stock
INE537C01019,ADVIK LABORS,,10/31/2018,6.01,,6.01,Stock
INE178T01024,ADVIKCA,,10/31/2018,4.1,,4.1,Stock
INE208C01025,AEGIS LOGIS,AEGISCHEM,10/31/2018,250.1,250.75,250.75,Stock
INE829P01020,AEL,,10/31/2018,42.5,,42.5,Stock
INE663P01015,AFEL,,10/31/2018,4.23,,4.23,Stock
INE204E01012,AGAR IND COR,AGARIND,10/31/2018,560.1,570,570,Stock
INE676A01019,AGCNET,AGCNET,10/31/2018,122,122.4,122.4,Stock
INE976R01017,AGIIL,,10/31/2018,155.1,,155.1,Stock
INE112C01011,AGIO PAPER,,10/31/2018,4.86,,4.86,Stock
INE449G01018,AGRI TECH,AGRITECH,10/31/2018,110,110.8,110.8,Stock
INE209A01019,AGRO TECH FO,ATFL,10/31/2018,664,667.95,667.95,Stock
INE740V01019,,AGROPHOS,10/31/2018,,36.5,36.5,Stock
INE758C01029,AHLUWALIA CO,AHLUCONT,10/31/2018,358,357.9,358,Stock
INE868C01018,AHMED.STEEL,,10/31/2018,26.9,,26.9,Stock
INE768E01024,AI CHAMPDNY,AICHAMP,10/31/2018,38,37.45,38,Stock
INE212H01026,AIAENGINEER,AIAENG,10/31/2018,1559.95,1570,1570,Stock
INE428O01016,AIFL,AIFL,10/31/2018,461.25,463.8,463.8,Stock
INE206F01014,AIIL,,10/31/2018,69.8,,69.8,Stock
INE008B01013,AIMCO PESTI.,,10/31/2018,205,,205,Stock
INE123D01016,AIML,,10/31/2018,167.5,,167.5,Stock
INE534E01012,AINFRA,,10/31/2018,60.55,,60.55,Stock
INE645W01018,,AIRAN,10/31/2018,,242,242,Stock
INE966Q01010,AIRL,,10/31/2018,4.2,,4.2,Stock
INE801L01010,,AIROLAM,10/31/2018,,49,49,Stock
INE778I01024,AISHWARYA TE,,10/31/2018,9.15,,9.15,Stock
INE635Y01015,,AISL,10/31/2018,,141.3,141.3,Stock
INE031B01049,AJANTA PHARM,AJANTPHARM,10/31/2018,1460,1460.8,1460.8,Stock
INE601B01015,AJANTA SOYA,,10/31/2018,64.25,,64.25,Stock
INE759C01019,AJCON GLOBAL,,10/31/2018,39.3,,39.3,Stock
INE229B01015,AJEL,,10/31/2018,4.25,,4.25,Stock
INE022N01019,AJIL,,10/31/2018,77,,77,Stock
INE298G01027,AJMERA,AJMERA,10/31/2018,316.8,318,318,Stock
INE820Y01013,,AJOONI,10/31/2018,,46.3,46.3,Stock
INE863E01015,AJWA FUN WOR,,10/31/2018,20.65,,20.65,Stock
INE737W01013,,AKASH,10/31/2018,,82,82,Stock
INE523B01011,AKSH OPTIFIB,AKSHOPTFBR,10/31/2018,39.5,39.5,39.5,Stock
INE542B01011,AKSHARCHEM I,AKSHARCHEM,10/31/2018,742.15,743.95,743.95,Stock
INE671K01019,AKSPINTEX,,10/31/2018,44.55,,44.55,Stock
INE133A01011,AKZOINDIA,AKZOINDIA,10/31/2018,1860,1869,1869,Stock
INE273F01022,ALAN SCOTT,,10/31/2018,12.5,,12.5,Stock
INE914E01040,ALANKIT,ALANKIT,10/31/2018,64.65,64.75,64.75,Stock
INE155C01010,ALBERT DAVID,ALBERTDAVD,10/31/2018,389,390,390,Stock
INE057D01016,ALCH CORP,,10/31/2018,6.59,,6.59,Stock
INE964B01033,ALCHEMIST LT,ALCHEM,10/31/2018,13.34,13.35,13.35,Stock
INE901L01018,ALEM PHARMA,APLLTD,10/31/2018,575.9,576.9,576.9,Stock
INE426A01027,ALEMBIC LTD.,ALEMBICLTD,10/31/2018,66.2,66.3,66.3,Stock
INE191N01012,ALEXANDER,,10/31/2018,22,,22,Stock
INE042C01010,ALFA ICA (I),,10/31/2018,75.55,,75.55,Stock
INE209C01015,ALFA TRANSFO,,10/31/2018,30.85,,30.85,Stock
INE211D01027,ALFL,,10/31/2018,1.39,,1.39,Stock
INE782D01027,ALFRED HERB,,10/31/2018,1114,,1114,Stock
INE062D01024,ALICON,ALICON,10/31/2018,681.15,684.4,684.4,Stock
INE963D01015,ALKA DIAMOND,,10/31/2018,9.3,,9.3,Stock
INE061B01020,ALKA INDIA,,10/31/2018,0.28,,0.28,Stock
INE921C01031,ALKA SECUR.,,10/31/2018,0.4,,0.4,Stock
INE773I01017,ALKALI,ALKALI,10/31/2018,84.95,84,84.95,Stock
INE540L01014,ALKEM,ALKEM,10/31/2018,2231.2,2229.95,2231.2,Stock
INE150B01021,ALKYL AMINES,ALKYLAMINE,10/31/2018,740.75,746.65,746.65,Stock
INE428A01015,ALLAHABAD BK,ALBK,10/31/2018,68.5,68.4,68.5,Stock
INE418H01029,ALLCARGO,ALLCARGO,10/31/2018,196,195,196,Stock
INE102I01027,ALLIED DIGIT,ADSL,10/31/2018,23.25,23.2,23.25,Stock
INE835G01018,ALLSEC TECH,ALLSEC,10/31/2018,419.95,418.35,419.95,Stock
INE326B01027,ALMONDZ GLO,ALMONDZ,10/31/2018,27,27.4,27.4,Stock
INE270A01011,ALOK INDS.,ALOKTEXT,10/31/2018,3.7,3.65,3.7,Stock
INE527R01018,ALORA,,10/31/2018,4.75,,4.75,Stock
INE385I01010,ALPA LAB,ALPA,10/31/2018,41,41,41,Stock
INE137C01018,ALPHAGEO (I),ALPHAGEO,10/31/2018,917.95,918,918,Stock
INE840D01015,ALPINE HSG.,,10/31/2018,34.9,,34.9,Stock
INE093B01015,ALPS INDS.,ALPSINDUS,10/31/2018,5.38,5.35,5.38,Stock
INE729P01022,ALPS MOTOR,,10/31/2018,22.2,,22.2,Stock
INE030P01017,ALSL,,10/31/2018,9.85,,9.85,Stock
INE058F01019,ALU FLUORIDE,,10/31/2018,122.8,,122.8,Stock
INE841D01013,AMAL PRODUCT,,10/31/2018,180.9,,180.9,Stock
INE885A01032,AMAR RAJA BA,AMARAJABAT,10/31/2018,820.5,820,820.5,Stock
INE484D01012,AMARJOTHI SP,,10/31/2018,188,,188,Stock
INE745P01010,AMARSEC,,10/31/2018,42.1,,42.1,Stock
INE371P01015,AMBER,AMBER,10/31/2018,1298.3,1299,1299,Stock
INE540G01014,AMBIKA COTTO,AMBIKCO,10/31/2018,1400,1416.9,1416.9,Stock
INE563S01011,AMBITION,,10/31/2018,42.7,,42.7,Stock
INE079A01024,AMBUJA CEME,AMBUJACEM,10/31/2018,262.4,263.3,263.3,Stock
INE924B01011,AMCO INDIA L,,10/31/2018,48.9,,48.9,Stock
INE005I01014,AMD INDUS,AMDIND,10/31/2018,43.8,44,44,Stock
INE319X01018,AMFL,,10/31/2018,21.7,,21.7,Stock
INE991A01020,AMFORGE IND.,,10/31/2018,3.02,,3.02,Stock
INE275D01022,AMINES&PLAST,,10/31/2018,81.95,,81.95,Stock
INE053D01015,AMIT INTNL.,,10/31/2018,3.3,,3.3,Stock
INE606A01024,AMJLAND,AMJLAND,10/31/2018,25.5,25.8,25.8,Stock
INE344X01016,AMML,,10/31/2018,9.99,,9.99,Stock
INE990S01016,AMRAFIN,,10/31/2018,39,,39,Stock
INE218P01018,AMRAPALI CAP,,10/31/2018,40.9,,40.9,Stock
INE762C01021,AMRAPALI IND,,10/31/2018,6.05,,6.05,Stock
INE866E01026,AMRIT CORP,,10/31/2018,1302,,1302,Stock
INE098F01023,AMRUTANJAN,AMRUTANJAN,10/31/2018,604,605,605,Stock
INE812P01018,AMSONS,,10/31/2018,4.59,,4.59,Stock
INE130C01021,AMTEK AUTO,AMTEKAUTO,10/31/2018,26.2,26.15,26.2,Stock
INE436N01029,AMTL,,10/31/2018,30,,30,Stock
INE242C01024,ANANTRAJ,ANANTRAJ,10/31/2018,68.15,68.15,68.15,Stock
INE148B01025,ANARINDUS,,10/31/2018,19,,19,Stock
INE434A01013,ANDHRA BANK,ANDHRABANK,10/31/2018,53.7,53.6,53.7,Stock
INE666E01012,ANDHRA CEMEN,ANDHRACEMT,10/31/2018,13.08,13.2,13.2,Stock
INE714B01016,ANDHRA PETRO,,10/31/2018,71.8,,71.8,Stock
INE715B01013,ANDHRA SUGAR,ANDHRSUGAR,10/31/2018,660.5,664.75,664.75,Stock
INE449C01025,ANDREW YULE,,10/31/2018,34,,34,Stock
INE720D01019,ANERI,,10/31/2018,5.03,,5.03,Stock
INE236W01016,ANG,,10/31/2018,76.15,,76.15,Stock
INE017D01010,ANGIND,ANGIND,10/31/2018,6.11,6,6.11,Stock
INE087B01017,ANIK INDS,ANIKINDS,10/31/2018,42.7,42.8,42.8,Stock
INE125E01019,ANILLTD,,10/31/2018,31.95,,31.95,Stock
INE084Q01012,ANISHA IMPEX,,10/31/2018,19.5,,19.5,Stock
INE283D01018,ANJANI FINL,,10/31/2018,4.29,,4.29,Stock
INE071F01012,ANJANI PORTL,APCL,10/31/2018,235,234.75,235,Stock
INE364D01032,ANJANI SYNT.,,10/31/2018,38.5,,38.5,Stock
INE784D01015,ANKUSH FINST,,10/31/2018,6.7,,6.7,Stock
INE234J01018,ANS LTD,,10/31/2018,23.6,,23.6,Stock
INE030C01015,ANSAL BUILD.,,10/31/2018,85.95,,85.95,Stock
INE880B01015,ANSAL HOUS.,ANSALHSG,10/31/2018,28.8,28.75,28.8,Stock
INE436A01026,ANSAL INFRAS,ANSALAPI,10/31/2018,27.45,27.5,27.5,Stock
INE636N01016,ANSHUS CLOTH,,10/31/2018,1.38,,1.38,Stock
INE414B01021,,ANTGRAPHIC,10/31/2018,,1.05,1.05,Stock
INE779A01011,ANTIF BEARNG,,10/31/2018,524.95,,524.95,Stock
INE489G01022,ANUH PHARMA,,10/31/2018,173,,173,Stock
INE372A01015,APAR INDUS.,APARINDS,10/31/2018,764.95,768.65,768.65,Stock
INE116A01024,APCOTEX IND,APCOTEXIND,10/31/2018,481.7,484,484,Stock
INE346W01013,APEX,APEX,10/31/2018,656,657,657,Stock
INE316O01021,APIL,,10/31/2018,26.85,,26.85,Stock
INE702C01019,APL APOLLO,APLAPOLLO,10/31/2018,2226,2240,2240,Stock
INE273A01015,APLAB LTD.,,10/31/2018,23.5,,23.5,Stock
INE099M01027,APLAYA,,10/31/2018,4.78,,4.78,Stock
INE170D01025,APM INDUS.,,10/31/2018,64,,64,Stock
INE713T01010,APOLLO,APOLLO,10/31/2018,366.8,360.85,366.8,Stock
INE412D01013,APOLLO FIN I,,10/31/2018,32.1,,32.1,Stock
INE437A01024,APOLLO HOSP.,APOLLOHOSP,10/31/2018,1173,1173.85,1173.85,Stock
INE438A01022,APOLLO TYRES,APOLLOTYRE,10/31/2018,264.5,263.75,264.5,Stock
INE126J01016,APOLLOPIPES,,10/31/2018,658.8,,658.8,Stock
INE451F01016,,APOLSINHOT,10/31/2018,,1420,1420,Stock
INE096A01010,APPLE FINANC,,10/31/2018,3.67,,3.67,Stock
INE266F01018,APTECH LTD,APTECHT,10/31/2018,321.65,321.4,321.65,Stock
INE421N01021,APTL,,10/31/2018,5.1,,5.1,Stock
INE005E01013,AQUAPIV,,10/31/2018,27.25,,27.25,Stock
INE800S01017,ARAMBHAN,,10/31/2018,54.5,,54.5,Stock
INE068C01015,ARAVALI SEC.,,10/31/2018,2.69,,2.69,Stock
INE276D01012,ARCEE INDUST,,10/31/2018,1.7,,1.7,Stock
INE202R01018,ARCFIN,,10/31/2018,5.38,,5.38,Stock
INE149B01015,ARCHANA SOFT,,10/31/2018,2.22,,2.22,Stock
INE877I01016,ARCHIDPLY IN,ARCHIDPLY,10/31/2018,106,106.35,106.35,Stock
INE731A01020,ARCHIES LTD,ARCHIES,10/31/2018,44.9,44.5,44.9,Stock
INE078I01011,ARCHITORG,,10/31/2018,53.85,,53.85,Stock
INE574I01035,ARCOTECH LTD,ARCOTECH,10/31/2018,48.9,48.85,48.9,Stock
INE674C01010,ARCUTTI.TEA,,10/31/2018,2.1,,2.1,Stock
INE646D01024,AREALTY,,10/31/2018,3.26,,3.26,Stock
INE480H01011,AREX IND.,,10/31/2018,94,,94,Stock
INE784R01015,ARFIN,,10/31/2018,530,,530,Stock
INE298I01015,ARIES AGRO,ARIES,10/31/2018,230,232.05,232.05,Stock
INE643K01018,ARIH SUPER,ARIHANTSUP,10/31/2018,158.85,159.45,159.45,Stock
INE420B01028,ARIHANT CAP.,,10/31/2018,168.8,,168.8,Stock
INE413D01011,ARIHANT FOUN,ARIHANT,10/31/2018,54.85,53.9,54.85,Stock
INE109C01017,ARMAN FIN,ARMANFIN,10/31/2018,271,271,271,Stock
INE971A01014,ARMS PAPER,,10/31/2018,1.22,,1.22,Stock
INE647D01014,ARNAVCORP,,10/31/2018,0.28,,0.28,Stock
INE185K01028,ARNOLD HOLD,,10/31/2018,7.04,,7.04,Stock
INE210C01013,ARO GRANITE,AROGRANITE,10/31/2018,68.5,69.4,69.4,Stock
INE933J01015,ARROW TEX,ARROWTEX,10/31/2018,45.5,45.55,45.55,Stock
INE570D01018,ARROWGREEN,ARROWGREEN,10/31/2018,478.4,480,480,Stock
INE968D01022,ARSHIYA,ARSHIYA,10/31/2018,99.1,99.15,99.15,Stock
INE267I01010,ARSS INFRA,ARSSINFRA,10/31/2018,51.3,51.7,51.7,Stock
INE885B01014,ARTEFACT PR,,10/31/2018,50,,50,Stock
INE517U01013,ARTEMIS,AGLSL,10/31/2018,120.15,120.75,120.75,Stock
INE738V01013,,ARTNIRMAN,10/31/2018,,29,29,Stock
INE133D01023,ARTSON ENG,,10/31/2018,98.9,,98.9,Stock
INE034A01011,ARVIND Ltd,ARVIND,10/31/2018,430,429.85,430,Stock
INE034S01021,ARVSMART,ARVSMART,10/31/2018,202.85,202.3,202.85,Stock
INE229R01011,ARYACAPM,,10/31/2018,27.15,,27.15,Stock
INE032E01017,ARYAMAN FIN.,,10/31/2018,48,,48,Stock
INE439A01020,ASAHI IN.GLA,ASAHIINDIA,10/31/2018,350,347.9,350,Stock
INE228I01012,ASAHI SONG,ASAHISONG,10/31/2018,365.05,368,368,Stock
INE348A01023,ASHAPURA LTD,ASHAPURMIN,10/31/2018,89.5,90,90,Stock
INE361S01010,ASHARI,,10/31/2018,47.75,,47.75,Stock
INE526R01010,ASHFL,,10/31/2018,119,,119,Stock
INE365D01021,ASHIANA HOU,ASHIANA,10/31/2018,204,202.8,204,Stock
INE587D01012,ASHIANA ISP.,,10/31/2018,29.2,,29.2,Stock
INE440A01010,ASHIMA LTD.,ASHIMASYN,10/31/2018,31.9,30.9,31.9,Stock
INE894A01026,ASHIRWAD CAP,,10/31/2018,3.09,,3.09,Stock
INE338C01012,ASHIRWAD STL,,10/31/2018,17.9,,17.9,Stock
INE831C01016,ASHISH POLY.,,10/31/2018,12.83,,12.83,Stock
INE372I01018,ASHNOOR TEX.,,10/31/2018,24.3,,24.3,Stock
INE208A01029,ASHOK LEYL.,ASHOKLEY,10/31/2018,126.3,126.55,126.55,Stock
INE442H01029,ASHOKA,ASHOKA,10/31/2018,232,229.95,232,Stock
INE994D01010,ASHOK-ALCO,,10/31/2018,123.9,,123.9,Stock
INE723K01018,ASHUTOSH PAP,,10/31/2018,2.95,,2.95,Stock
INE784M01016,ASIA PACK,,10/31/2018,23.2,,23.2,Stock
INE022I01019,ASIAN GRANIT,ASIANTILES,10/31/2018,562.3,562.5,562.5,Stock
INE926K01017,ASIAN HTL E,AHLEAST,10/31/2018,389.4,392.5,392.5,Stock
INE915K01010,ASIAN HTL W,AHLWEST,10/31/2018,284.6,289.9,289.9,Stock
INE276G01015,ASIAN OILFIE,,10/31/2018,260,,260,Stock
INE021A01026,ASIAN PAINTS,ASIANPAINT,10/31/2018,1139.7,1139.8,1139.8,Stock
INE194D01017,ASIAN STAR,,10/31/2018,1449.85,,1449.85,Stock
INE822B01017,ASIAN TEA,,10/31/2018,17,,17,Stock
INE363A01022,ASIANHOTNR,ASIANHOTNR,10/31/2018,275.8,274.95,275.8,Stock
INE041B01014,ASIT C FIN,,10/31/2018,66.2,,66.2,Stock
INE617I01024,,ASLIND,10/31/2018,,33,33,Stock
INE867C01010,ASM TECHNOLO,,10/31/2018,171.8,,171.8,Stock
INE991I01015,,ASPINWALL,10/31/2018,,504,504,Stock
INE442A01024,ASSAMCO,ASSAMCO,10/31/2018,5.1,5.1,5.1,Stock
INE073G01016,ASSO.ALCOHOL,,10/31/2018,267.95,,267.95,Stock
INE443A01030,ASSOC.STONE,,10/31/2018,39.8,,39.8,Stock
INE563J01010,ASTEC LIFE,ASTEC,10/31/2018,603,602.2,603,Stock
INE386C01029,ASTRA MICRO,ASTRAMICRO,10/31/2018,115.4,115,115.4,Stock
INE006I01046,ASTRAL POLY,ASTRAL,10/31/2018,813.95,814,814,Stock
INE203A01020,ASTRAZEN.PH.,ASTRAZEN,10/31/2018,1141,1149.9,1149.9,Stock
INE646X01014,ASTRON,ASTRON,10/31/2018,141.65,141.5,141.65,Stock
INE520G01016,ASYAINFO,,10/31/2018,43,,43,Stock
INE184U01012,ASYL,,10/31/2018,20.95,,20.95,Stock
INE291R01011,ATHCON,,10/31/2018,68.8,,68.8,Stock
INE576B01019,ATHENAGLO,,10/31/2018,17,,17,Stock
INE011R01013,ATISHAY,,10/31/2018,116,,116,Stock
INE285H01022,ATLANTA,ATLANTA,10/31/2018,110.8,110.9,110.9,Stock
INE590F01029,ATLANTADEV,,10/31/2018,0.9,,0.9,Stock
INE446A01025,ATLAS CYCLES,ATLASCYCLE,10/31/2018,202.95,199.75,202.95,Stock
INE951D01028,ATUL AUTO,ATULAUTO,10/31/2018,425,424.85,425,Stock
INE100A01010,ATUL LTD.,ATUL,10/31/2018,2820,2822.45,2822.45,Stock
INE447A01015,ATV PROJECTS,,10/31/2018,11.86,,11.86,Stock
INE949L01017,AUBANK,AUBANK,10/31/2018,676,676,676,Stock
INE207D01017,AUNDE IND,,10/31/2018,66.6,,66.6,Stock
INE448V01019,,AURDIS,10/31/2018,,34,34,Stock
INE132H01018,AURIONPRO SO,AURIONPRO,10/31/2018,219.65,219.5,219.65,Stock
INE292C01011,AURO LAB.,,10/31/2018,94.9,,94.9,Stock
INE406A01037,AUROB.PHARMA,AUROPHARMA,10/31/2018,635.4,635.5,635.5,Stock
INE662I01012,AUROMA COKE,,10/31/2018,7.5,,7.5,Stock
INE600D01021,AURUM SOFT,,10/31/2018,2.78,,2.78,Stock
INE218C01016,AUSOM ENT,AUSOMENT,10/31/2018,83,83.75,83.75,Stock
INE759F01012,AUSTIN ENGG.,,10/31/2018,124.5,,124.5,Stock
INE449A01011,AUTO AXLES,AUTOAXLES,10/31/2018,1686.95,1694.65,1694.65,Stock
INE451C01013,AUTO COR.GOA,,10/31/2018,1387.9,,1387.9,Stock
INE718H01014,AUTOIND,AUTOIND,10/31/2018,91.95,91.1,91.95,Stock
INE448A01013,AUTOLITE(I),AUTOLITIND,10/31/2018,67.4,67.5,67.5,Stock
INE900C01027,AUTOMOTIVE S,ASAL,10/31/2018,93.4,93.95,93.95,Stock
INE349W01017,AVADHSUGAR,AVADHSUGAR,10/31/2018,699,697.95,699,Stock
INE325G01010,AVAILABLE FI,,10/31/2018,9.65,,9.65,Stock
INE005B01019,AVANTEL LTD,,10/31/2018,566.15,,566.15,Stock
INE871C01020,AVANTI FEEDS,AVANTIFEED,10/31/2018,2270,2274.7,2274.7,Stock
INE679V01019,AVL,,10/31/2018,129.15,,129.15,Stock
INE881A01015,AVONLIFE,,10/31/2018,16.3,,16.3,Stock
INE323B01016,AVONMORE,,10/31/2018,38.5,,38.5,Stock
INE522V01011,,AVSL,10/31/2018,,28,28,Stock
INE488D01021,AVT NATURAL,AVTNPL,10/31/2018,46.95,46.35,46.95,Stock
INE197C01012,AXEL POLYMER,,10/31/2018,27,,27,Stock
INE238A01034,AXIS BANK,AXISBANK,10/31/2018,595.75,596,596,Stock
INF846K01ZK2,AXISAEGPG,,10/31/2018,9.77,,9.77,Stock
INE555B01013,AXISCADES,AXISCADES,10/31/2018,188,187.85,188,Stock
INF846K01347,AXISGOLD,AXISGOLD,10/31/2018,2684.99,2639.95,2684.99,Stock
INF846K01ZL0,,AXISNIFTY,10/31/2018,,1103.9,1103.9,Stock
INE663D01011,AXONVL,,10/31/2018,1.57,,1.57,Stock
INE767C01012,AXTEL INDUS.,,10/31/2018,126.15,,126.15,Stock
INE193B01039,AYMSYNTEX,AYMSYNTEX,10/31/2018,65,65.35,65.35,Stock
INE735G01010,B NANJI ENT.,,10/31/2018,10.45,,10.45,Stock
INE710D01010,B.N.RATHI SE,,10/31/2018,43.25,,43.25,Stock
INE151B01011,B2B SOFT.,,10/31/2018,14,,14,Stock
INE893A01036,BABA ARTS,,10/31/2018,2.94,,2.94,Stock
INE711D01018,BACIL PHARMA,,10/31/2018,4.21,,4.21,Stock
INE878I01014,BAFNA PHARMA,BAFNAPHARM,10/31/2018,24.5,24.75,24.75,Stock
INE116D01028,BAG FIL MED,BAGFILMS,10/31/2018,5.9,6,6,Stock
INE365H01014,BAGADIA COLO,,10/31/2018,9.92,,9.92,Stock
INE020D01014,BAID LEASING,,10/31/2018,193.9,,193.9,Stock
INE118A01012,BAJ HOLD INV,BAJAJHLDNG,10/31/2018,2851,2815,2851,Stock
INE917I01010,BAJAJ AUTO,BAJAJ-AUTO,10/31/2018,3379.15,3385.8,3385.8,Stock
INE933K01021,BAJAJ CORP,BAJAJCORP,10/31/2018,507,505.05,507,Stock
INE193E01025,BAJAJ ELECT.,BAJAJELEC,10/31/2018,511.3,512,512,Stock
INE918I01018,BAJAJ FINSE,BAJAJFINSV,10/31/2018,4870,4863.45,4870,Stock
INE704G01016,BAJAJ STEEL,,10/31/2018,205,,205,Stock
INE411U01019,BAJAJHCARE,,10/31/2018,380,,380,Stock
INE306A01021,BAJAJHIND,BAJAJHIND,10/31/2018,14.55,14.5,14.55,Stock
INE296A01024,BAJFINANCE,BAJFINANCE,10/31/2018,1688.5,1690,1690,Stock
